"question_id","subject","concept","ground_truth","student_answer","label"
"14","Vật lý 10","Định luật 3 Newton (tác dụng - phản tác dụng)","Khi vật A tác dụng lên vật B một lực thì vật B cũng tác dụng trở lại vật A một lực; hai lực này cùng giá, cùng độ lớn nhưng ngược chiều (lực và phản lực).","Vật A tác dụng lên vật B một lực thì vật B tác dụng trở lại vật A một lực, hai lực có cùng độ lớn, cùng giá, ngược chiều nhau.","hoc_vet"
"15","Vật lý 10","Định luật 3 Newton (tác dụng - phản tác dụng)","Khi vật A tác dụng lên vật B một lực thì vật B cũng tác dụng trở lại vật A một lực; hai lực này cùng giá, cùng độ lớn nhưng ngược chiều (lực và phản lực).","Định luật 3 Newton nghĩa là hai lực tác dụng và phản tác dụng triệt tiêu nhau nên vật đứng yên, không chuyển động được.","sai"
"16","Vật lý 10","Động năng","Động năng là dạng năng lượng mà một vật có được do nó đang chuyển động, có độ lớn bằng Wđ = 1/2 mv², với m là khối lượng và v là vận tốc của vật.","Động năng là năng lượng của vật sinh ra vì nó đang di chuyển, tính bằng nửa khối lượng nhân bình phương vận tốc.","dung"
"17","Vật lý 10","Động năng","Động năng là dạng năng lượng mà một vật có được do nó đang chuyển động, có độ lớn bằng Wđ = 1/2 mv², với m là khối lượng và v là vận tốc của vật.","Theo em thì bất cứ vật gì đang chuyển động đều mang trong mình một loại năng lượng gọi là động năng, giá trị của nó phụ thuộc vào khối lượng vật và đặc biệt phụ thuộc rất mạnh vào vận tốc vì vận tốc bị bình phương lên trong công thức.","dung"
"18","Vật lý 10","Động năng","Động năng là dạng năng lượng mà một vật có được do nó đang chuyển động, có độ lớn bằng Wđ = 1/2 mv², với m là khối lượng và v là vận tốc của vật.","Động năng là dạng năng lượng mà vật có được do đang chuyển động, độ lớn bằng Wđ = 1/2 mv², m là khối lượng, v là vận tốc vật.","hoc_vet"
"19","Vật lý 10","Động năng","Động năng là dạng năng lượng mà một vật có được do nó đang chuyển động, có độ lớn bằng Wđ = 1/2 mv², với m là khối lượng và v là vận tốc của vật.","Động năng là năng lượng của một vật có được do vật đang chuyển động, tính bằng công thức 1/2 mv² với m khối lượng và v vận tốc.","hoc_vet"
"20","Vật lý 10","Động năng","Động năng là dạng năng lượng mà một vật có được do nó đang chuyển động, có độ lớn bằng Wđ = 1/2 mv², với m là khối lượng và v là vận tốc của vật.","Động năng là năng lượng vật có do vị trí của nó ở trên cao so với mặt đất, tính bằng m nhân g nhân độ cao.","sai"
"21","Vật lý 10","Thế năng trọng trường","Thế năng trọng trường của một vật là năng lượng vật có do vị trí của nó trong trọng trường, được xác định bằng Wt = mgz, với z là độ cao của vật so với mốc thế năng.","Thế năng trọng trường là năng lượng vật có được vì nó đang ở một độ cao nào đó so với mặt đất, càng lên cao thì thế năng càng lớn.","dung"
"22","Vật lý 10","Thế năng trọng trường","Thế năng trọng trường của một vật là năng lượng vật có do vị trí của nó trong trọng trường, được xác định bằng Wt = mgz, với z là độ cao của vật so với mốc thế năng.","Em nghĩ thế năng trọng trường xuất hiện là do vị trí của vật trong trường hấp dẫn của Trái Đất, nếu vật ở càng xa mốc chọn làm gốc thường là mặt đất thì thế năng càng lớn, công thức tính là khối lượng nhân gia tốc trọng trường nhân độ cao.","dung"
"23","Vật lý 10","Thế năng trọng trường","Thế năng trọng trường của một vật là năng lượng vật có do vị trí của nó trong trọng trường, được xác định bằng Wt = mgz, với z là độ cao của vật so với mốc thế năng.","Thế năng trọng trường của vật là năng lượng vật có do vị trí của nó trong trọng trường, xác định bằng Wt = mgz, z là độ cao so với mốc thế năng.","hoc_vet"
"24","Vật lý 10","Thế năng trọng trường","Thế năng trọng trường của một vật là năng lượng vật có do vị trí của nó trong trọng trường, được xác định bằng Wt = mgz, với z là độ cao của vật so với mốc thế năng.","Thế năng trọng trường là năng lượng mà vật có được do vị trí trong trọng trường, tính bằng công thức mgz với z là độ cao so với mốc chọn.","hoc_vet"
"25","Vật lý 10","Thế năng trọng trường","Thế năng trọng trường của một vật là năng lượng vật có do vị trí của nó trong trọng trường, được xác định bằng Wt = mgz, với z là độ cao của vật so với mốc thế năng.","Thế năng trọng trường là năng lượng vật có được do nó đang chuyển động nhanh hay chậm ở trên cao.","sai"
"26","Vật lý 10","Định luật bảo toàn cơ năng","Trong quá trình chuyển động, nếu vật chỉ chịu tác dụng của trọng lực (không có lực ma sát, lực cản), thì cơ năng của vật là đại lượng bảo toàn, tức là tổng động năng và thế năng không đổi.","Nếu không có ma sát hay lực cản gì thì tổng động năng cộng thế năng của vật lúc nào cũng như nhau, năng lượng chỉ chuyển từ dạng này sang dạng kia thôi.","dung"
"27","Vật lý 10","Định luật bảo toàn cơ năng","Trong quá trình chuyển động, nếu vật chỉ chịu tác dụng của trọng lực (không có lực ma sát, lực cản), thì cơ năng của vật là đại lượng bảo toàn, tức là tổng động năng và thế năng không đổi.","Em hiểu là khi vật rơi hay chuyển động mà chỉ có trọng lực tác dụng, không bị ma sát hay cản trở gì thì cơ năng của nó, tức là động năng cộng với thế năng, sẽ không thay đổi theo thời gian, ví dụ vật rơi xuống thì thế năng giảm nhưng động năng tăng lên tương ứng.","dung"
"28","Vật lý 10","Định luật bảo toàn cơ năng","Trong quá trình chuyển động, nếu vật chỉ chịu tác dụng của trọng lực (không có lực ma sát, lực cản), thì cơ năng của vật là đại lượng bảo toàn, tức là tổng động năng và thế năng không đổi.","Nếu vật chỉ chịu tác dụng của trọng lực, không có ma sát hay lực cản, thì cơ năng của vật được bảo toàn, tổng động năng và thế năng không đổi.","hoc_vet"
"29","Vật lý 10","Định luật bảo toàn cơ năng","Trong quá trình chuyển động, nếu vật chỉ chịu tác dụng của trọng lực (không có lực ma sát, lực cản), thì cơ năng của vật là đại lượng bảo toàn, tức là tổng động năng và thế năng không đổi.","Trong quá trình chuyển động nếu vật chỉ chịu trọng lực tác dụng thì cơ năng là đại lượng bảo toàn, động năng và thế năng cộng lại luôn không đổi.","hoc_vet"
"30","Vật lý 10","Định luật bảo toàn cơ năng","Trong quá trình chuyển động, nếu vật chỉ chịu tác dụng của trọng lực (không có lực ma sát, lực cản), thì cơ năng của vật là đại lượng bảo toàn, tức là tổng động năng và thế năng không đổi.","Định luật bảo toàn cơ năng nghĩa là dù có ma sát hay không thì tổng động năng và thế năng của vật luôn luôn không đổi trong mọi trường hợp.","sai"
"31","Vật lý 10","Áp suất chất lỏng","Áp suất tại một điểm trong chất lỏng tăng theo độ sâu, được tính bằng p = ρgh, với ρ là khối lượng riêng chất lỏng, g là gia tốc trọng trường và h là độ sâu tính từ mặt thoáng.","Càng xuống sâu trong nước thì áp suất càng lớn, tính bằng khối lượng riêng nhân gia tốc trọng trường nhân độ sâu.","dung"
"32","Vật lý 10","Áp suất chất lỏng","Áp suất tại một điểm trong chất lỏng tăng theo độ sâu, được tính bằng p = ρgh, với ρ là khối lượng riêng chất lỏng, g là gia tốc trọng trường và h là độ sâu tính từ mặt thoáng.","Theo em áp suất ở một điểm trong lòng chất lỏng phụ thuộc vào độ sâu tính từ mặt thoáng xuống, và loại chất lỏng khác nhau thì khối lượng riêng khác nhau nên áp suất cũng khác, công thức chung là p = ρgh.","dung"
"33","Vật lý 10","Áp suất chất lỏng","Áp suất tại một điểm trong chất lỏng tăng theo độ sâu, được tính bằng p = ρgh, với ρ là khối lượng riêng chất lỏng, g là gia tốc trọng trường và h là độ sâu tính từ mặt thoáng.","Áp suất tại một điểm trong chất lỏng tăng theo độ sâu, tính bằng p = ρgh, với ρ khối lượng riêng chất lỏng, g gia tốc trọng trường, h độ sâu từ mặt thoáng.","hoc_vet"
"34","Vật lý 10","Áp suất chất lỏng","Áp suất tại một điểm trong chất lỏng tăng theo độ sâu, được tính bằng p = ρgh, với ρ là khối lượng riêng chất lỏng, g là gia tốc trọng trường và h là độ sâu tính từ mặt thoáng.","Áp suất trong lòng chất lỏng tăng dần theo độ sâu, được tính bằng công thức p = ρgh trong đó h là độ sâu tính từ mặt thoáng chất lỏng.","hoc_vet"
"35","Vật lý 10","Áp suất chất lỏng","Áp suất tại một điểm trong chất lỏng tăng theo độ sâu, được tính bằng p = ρgh, với ρ là khối lượng riêng chất lỏng, g là gia tốc trọng trường và h là độ sâu tính từ mặt thoáng.","Áp suất chất lỏng phụ thuộc vào hình dạng của bình chứa, bình càng to càng rộng thì áp suất ở đáy càng lớn.","sai"
"36","Hóa học 10","Cấu tạo nguyên tử (proton, neutron, electron)","Nguyên tử gồm hạt nhân mang điện tích dương nằm ở trung tâm (chứa proton mang điện dương và neutron không mang điện) và lớp vỏ electron mang điện âm chuyển động xung quanh hạt nhân.","Nguyên tử có phần lõi ở giữa gồm proton và neutron, còn electron thì bay xung quanh ở lớp vỏ bên ngoài.","dung"
"37","Hóa học 10","Cấu tạo nguyên tử (proton, neutron, electron)","Nguyên tử gồm hạt nhân mang điện tích dương nằm ở trung tâm (chứa proton mang điện dương và neutron không mang điện) và lớp vỏ electron mang điện âm chuyển động xung quanh hạt nhân.","Em hiểu là ở giữa nguyên tử có một hạt nhân rất nhỏ nhưng nặng, trong đó chứa proton tích điện dương và neutron không tích điện, còn xung quanh hạt nhân đó là các electron mang điện âm chuyển động rất nhanh tạo thành lớp vỏ.","dung"
"38","Hóa học 10","Cấu tạo nguyên tử (proton, neutron, electron)","Nguyên tử gồm hạt nhân mang điện tích dương nằm ở trung tâm (chứa proton mang điện dương và neutron không mang điện) và lớp vỏ electron mang điện âm chuyển động xung quanh hạt nhân.","Nguyên tử gồm hạt nhân mang điện dương ở trung tâm chứa proton điện dương và neutron không mang điện, và lớp vỏ electron mang điện âm chuyển động quanh hạt nhân.","hoc_vet"
"39","Hóa học 10","Cấu tạo nguyên tử (proton, neutron, electron)","Nguyên tử gồm hạt nhân mang điện tích dương nằm ở trung tâm (chứa proton mang điện dương và neutron không mang điện) và lớp vỏ electron mang điện âm chuyển động xung quanh hạt nhân.","Nguyên tử có hạt nhân mang điện tích dương nằm ở giữa gồm proton và neutron, lớp vỏ bên ngoài là các electron mang điện âm bay xung quanh.","hoc_vet"
"40","Hóa học 10","Cấu tạo nguyên tử (proton, neutron, electron)","Nguyên tử gồm hạt nhân mang điện tích dương nằm ở trung tâm (chứa proton mang điện dương và neutron không mang điện) và lớp vỏ electron mang điện âm chuyển động xung quanh hạt nhân.","Nguyên tử gồm hạt nhân ở giữa chứa proton và electron, còn neutron thì bay ở lớp vỏ bên ngoài mang điện âm.","sai"
"41","Hóa học 10","Liên kết ion","Liên kết ion là liên kết được hình thành bởi lực hút tĩnh điện giữa các ion mang điện tích trái dấu, thường tạo thành khi nguyên tử kim loại nhường electron cho nguyên tử phi kim.","Liên kết ion là kiểu liên kết mà một nguyên tử cho hẳn electron cho nguyên tử kia, tạo thành hai ion trái dấu rồi hút nhau.","dung"
"42","Hóa học 10","Liên kết ion","Liên kết ion là liên kết được hình thành bởi lực hút tĩnh điện giữa các ion mang điện tích trái dấu, thường tạo thành khi nguyên tử kim loại nhường electron cho nguyên tử phi kim.","Theo em thì liên kết ion xảy ra khi một nguyên tử, thường là kim loại, nhường hẳn electron của mình cho một nguyên tử phi kim, sau đó nguyên tử kim loại trở thành ion dương còn phi kim thành ion âm, và hai ion trái dấu này hút nhau bằng lực tĩnh điện tạo nên liên kết.","dung"
"43","Hóa học 10","Liên kết ion","Liên kết ion là liên kết được hình thành bởi lực hút tĩnh điện giữa các ion mang điện tích trái dấu, thường tạo thành khi nguyên tử kim loại nhường electron cho nguyên tử phi kim.","Liên kết ion là liên kết hình thành bởi lực hút tĩnh điện giữa các ion mang điện tích trái dấu, tạo thành khi nguyên tử kim loại nhường electron cho phi kim.","hoc_vet"
"44","Hóa học 10","Liên kết ion","Liên kết ion là liên kết được hình thành bởi lực hút tĩnh điện giữa các ion mang điện tích trái dấu, thường tạo thành khi nguyên tử kim loại nhường electron cho nguyên tử phi kim.","Liên kết ion được tạo bởi lực hút tĩnh điện giữa hai ion trái dấu, thường hình thành khi kim loại nhường electron cho nguyên tử phi kim.","hoc_vet"
"45","Hóa học 10","Liên kết ion","Liên kết ion là liên kết được hình thành bởi lực hút tĩnh điện giữa các ion mang điện tích trái dấu, thường tạo thành khi nguyên tử kim loại nhường electron cho nguyên tử phi kim.","Liên kết ion là liên kết mà hai nguyên tử góp chung electron với nhau để cùng đạt cấu hình bền, giống như hai bên chia sẻ electron.","sai"
"46","Hóa học 10","Liên kết cộng hóa trị","Liên kết cộng hóa trị là liên kết được hình thành giữa hai nguyên tử bằng một hay nhiều cặp electron dùng chung.","Liên kết cộng hóa trị là khi hai nguyên tử góp chung electron với nhau chứ không cho hẳn.","dung"
"47","Hóa học 10","Liên kết cộng hóa trị","Liên kết cộng hóa trị là liên kết được hình thành giữa hai nguyên tử bằng một hay nhiều cặp electron dùng chung.","Em nghĩ liên kết cộng hóa trị khác với liên kết ion ở chỗ hai nguyên tử tham gia liên kết không nhường hẳn electron cho nhau mà cùng góp chung một hoặc nhiều cặp electron để dùng chung, nhờ vậy cả hai đều đạt được cấu hình electron bền vững hơn.","dung"
"48","Hóa học 10","Liên kết cộng hóa trị","Liên kết cộng hóa trị là liên kết được hình thành giữa hai nguyên tử bằng một hay nhiều cặp electron dùng chung.","Liên kết cộng hóa trị là liên kết hình thành giữa hai nguyên tử bằng một hoặc nhiều cặp electron dùng chung.","hoc_vet"
"49","Hóa học 10","Liên kết cộng hóa trị","Liên kết cộng hóa trị là liên kết được hình thành giữa hai nguyên tử bằng một hay nhiều cặp electron dùng chung.","Liên kết cộng hóa trị được tạo thành giữa hai nguyên tử nhờ một hay nhiều cặp electron chung.","hoc_vet"
"50","Hóa học 10","Liên kết cộng hóa trị","Liên kết cộng hóa trị là liên kết được hình thành giữa hai nguyên tử bằng một hay nhiều cặp electron dùng chung.","Liên kết cộng hóa trị là liên kết mà một nguyên tử nhường hẳn electron của mình cho nguyên tử kia để tạo thành ion.","sai"
"51","Hóa học 10","Bảng tuần hoàn - quy luật biến đổi tính kim loại","Trong một chu kì, theo chiều tăng của điện tích hạt nhân, tính kim loại giảm dần; trong một nhóm A, theo chiều tăng của điện tích hạt nhân, tính kim loại tăng dần.","Đi từ trái sang phải trong một hàng thì tính kim loại yếu dần, còn đi từ trên xuống dưới trong một cột thì tính kim loại mạnh lên.","dung"
"52","Hóa học 10","Bảng tuần hoàn - quy luật biến đổi tính kim loại","Trong một chu kì, theo chiều tăng của điện tích hạt nhân, tính kim loại giảm dần; trong một nhóm A, theo chiều tăng của điện tích hạt nhân, tính kim loại tăng dần.","Theo em thì trong bảng tuần hoàn, nếu xét theo hàng ngang tức chu kì, khi điện tích hạt nhân tăng dần từ trái qua phải thì tính kim loại của nguyên tố giảm dần, ngược lại nếu xét theo cột dọc tức nhóm A, khi đi từ trên xuống dưới thì tính kim loại lại tăng lên.","dung"
"53","Hóa học 10","Bảng tuần hoàn - quy luật biến đổi tính kim loại","Trong một chu kì, theo chiều tăng của điện tích hạt nhân, tính kim loại giảm dần; trong một nhóm A, theo chiều tăng của điện tích hạt nhân, tính kim loại tăng dần.","Trong một chu kì, theo chiều tăng điện tích hạt nhân, tính kim loại giảm dần; trong một nhóm A, theo chiều tăng điện tích hạt nhân, tính kim loại tăng dần.","hoc_vet"
"54","Hóa học 10","Bảng tuần hoàn - quy luật biến đổi tính kim loại","Trong một chu kì, theo chiều tăng của điện tích hạt nhân, tính kim loại giảm dần; trong một nhóm A, theo chiều tăng của điện tích hạt nhân, tính kim loại tăng dần.","Trong chu kì theo chiều tăng của điện tích hạt nhân thì tính kim loại giảm, còn trong nhóm A theo chiều tăng điện tích hạt nhân thì tính kim loại tăng dần.","hoc_vet"
"55","Hóa học 10","Bảng tuần hoàn - quy luật biến đổi tính kim loại","Trong một chu kì, theo chiều tăng của điện tích hạt nhân, tính kim loại giảm dần; trong một nhóm A, theo chiều tăng của điện tích hạt nhân, tính kim loại tăng dần.","Trong một chu kì, đi từ trái sang phải tính kim loại tăng dần vì điện tích hạt nhân tăng nên hút electron mạnh hơn, còn trong nhóm thì tính kim loại giảm dần khi xuống dưới.","sai"
"56","Hóa học 10","Phản ứng oxi hóa - khử","Phản ứng oxi hóa - khử là phản ứng hóa học trong đó có sự chuyển electron giữa các chất phản ứng, hay nói cách khác có sự thay đổi số oxi hóa của một số nguyên tố.","Phản ứng oxi hóa khử là phản ứng có electron chuyển từ chất này sang chất kia, làm số oxi hóa của các nguyên tố thay đổi.","dung"
"57","Hóa học 10","Phản ứng oxi hóa - khử","Phản ứng oxi hóa - khử là phản ứng hóa học trong đó có sự chuyển electron giữa các chất phản ứng, hay nói cách khác có sự thay đổi số oxi hóa của một số nguyên tố.","Em hiểu phản ứng oxi hóa khử là loại phản ứng mà trong đó có chất nhường electron và có chất nhận electron, quá trình nhường electron gọi là oxi hóa còn nhận electron gọi là khử, kết quả là số oxi hóa của các nguyên tố tham gia bị thay đổi so với trước phản ứng.","dung"
"58","Hóa học 10","Phản ứng oxi hóa - khử","Phản ứng oxi hóa - khử là phản ứng hóa học trong đó có sự chuyển electron giữa các chất phản ứng, hay nói cách khác có sự thay đổi số oxi hóa của một số nguyên tố.","Phản ứng oxi hóa - khử là phản ứng hóa học có sự chuyển electron giữa các chất phản ứng, tức là có sự thay đổi số oxi hóa của một số nguyên tố.","hoc_vet"
"59","Hóa học 10","Phản ứng oxi hóa - khử","Phản ứng oxi hóa - khử là phản ứng hóa học trong đó có sự chuyển electron giữa các chất phản ứng, hay nói cách khác có sự thay đổi số oxi hóa của một số nguyên tố.","Phản ứng oxi hóa khử là phản ứng trong đó có sự chuyển electron giữa các chất, hay có sự thay đổi số oxi hóa của một vài nguyên tố tham gia.","hoc_vet"
"60","Hóa học 10","Phản ứng oxi hóa - khử","Phản ứng oxi hóa - khử là phản ứng hóa học trong đó có sự chuyển electron giữa các chất phản ứng, hay nói cách khác có sự thay đổi số oxi hóa của một số nguyên tố.","Phản ứng oxi hóa khử là phản ứng mà chất oxi hóa là chất nhường electron còn chất khử là chất nhận electron.","sai"
"61","Sinh học 10","Cấu trúc tế bào nhân thực","Tế bào nhân thực có màng nhân bao bọc vật chất di truyền tạo thành nhân hoàn chỉnh, và có hệ thống các bào quan có màng bao bọc như ti thể, lục lạp, lưới nội chất, bộ máy Golgi.","Tế bào nhân thực khác tế bào nhân sơ ở chỗ nó có nhân thật, tức là ADN được bọc trong một lớp màng riêng, và còn có nhiều bào quan có màng bao quanh nữa.","dung"
"62","Sinh học 10","Cấu trúc tế bào nhân thực","Tế bào nhân thực có màng nhân bao bọc vật chất di truyền tạo thành nhân hoàn chỉnh, và có hệ thống các bào quan có màng bao bọc như ti thể, lục lạp, lưới nội chất, bộ máy Golgi.","Theo em điểm đặc trưng của tế bào nhân thực là vật chất di truyền không nằm tự do trong tế bào chất mà được bao bọc bởi màng nhân tạo thành một nhân hoàn chỉnh, ngoài ra bên trong tế bào chất còn có rất nhiều bào quan có màng riêng như ti thể để hô hấp, lục lạp để quang hợp ở thực vật, lưới nội chất và bộ máy Golgi.","dung"
"63","Sinh học 10","Cấu trúc tế bào nhân thực","Tế bào nhân thực có màng nhân bao bọc vật chất di truyền tạo thành nhân hoàn chỉnh, và có hệ thống các bào quan có màng bao bọc như ti thể, lục lạp, lưới nội chất, bộ máy Golgi.","Tế bào nhân thực có màng nhân bao bọc vật chất di truyền tạo thành nhân hoàn chỉnh, và có các bào quan có màng bao bọc như ti thể, lục lạp, lưới nội chất, bộ máy Golgi.","hoc_vet"
"64","Sinh học 10","Cấu trúc tế bào nhân thực","Tế bào nhân thực có màng nhân bao bọc vật chất di truyền tạo thành nhân hoàn chỉnh, và có hệ thống các bào quan có màng bao bọc như ti thể, lục lạp, lưới nội chất, bộ máy Golgi.","Tế bào nhân thực có màng bao bọc vật chất di truyền tạo nhân hoàn chỉnh, và có hệ thống bào quan có màng như ti thể, lục lạp, lưới nội chất, Golgi.","hoc_vet"
"65","Sinh học 10","Cấu trúc tế bào nhân thực","Tế bào nhân thực có màng nhân bao bọc vật chất di truyền tạo thành nhân hoàn chỉnh, và có hệ thống các bào quan có màng bao bọc như ti thể, lục lạp, lưới nội chất, bộ máy Golgi.","Tế bào nhân thực là loại tế bào không có màng nhân bao bọc, vật chất di truyền nằm tự do trong tế bào chất giống như vi khuẩn.","sai"
"66","Sinh học 10","Quang hợp","Quang hợp là quá trình lục lạp hấp thụ năng lượng ánh sáng để tổng hợp chất hữu cơ (glucose) từ CO2 và nước, đồng thời giải phóng khí oxi.","Quang hợp là quá trình cây dùng ánh sáng mặt trời để biến CO2 và nước thành đường, rồi thải ra oxi.","dung"
"67","Sinh học 10","Quang hợp","Quang hợp là quá trình lục lạp hấp thụ năng lượng ánh sáng để tổng hợp chất hữu cơ (glucose) từ CO2 và nước, đồng thời giải phóng khí oxi.","Em hiểu quang hợp là quá trình diễn ra ở lục lạp của thực vật, trong đó năng lượng ánh sáng mặt trời được hấp thụ và sử dụng để chuyển hóa khí CO2 cùng với nước thành các chất hữu cơ như glucose để nuôi cây, và trong quá trình này khí oxi được thải ra môi trường.","dung"
"68","Sinh học 10","Quang hợp","Quang hợp là quá trình lục lạp hấp thụ năng lượng ánh sáng để tổng hợp chất hữu cơ (glucose) từ CO2 và nước, đồng thời giải phóng khí oxi.","Quang hợp là quá trình lục lạp hấp thụ ánh sáng để tổng hợp chất hữu cơ glucose từ CO2 và nước, đồng thời giải phóng oxi.","hoc_vet"
"69","Sinh học 10","Quang hợp","Quang hợp là quá trình lục lạp hấp thụ năng lượng ánh sáng để tổng hợp chất hữu cơ (glucose) từ CO2 và nước, đồng thời giải phóng khí oxi.","Quang hợp là quá trình lục lạp hấp thụ năng lượng ánh sáng tổng hợp chất hữu cơ từ CO2 và nước, giải phóng ra khí oxi.","hoc_vet"
"70","Sinh học 10","Quang hợp","Quang hợp là quá trình lục lạp hấp thụ năng lượng ánh sáng để tổng hợp chất hữu cơ (glucose) từ CO2 và nước, đồng thời giải phóng khí oxi.","Quang hợp là quá trình cây hấp thụ khí oxi và thải ra khí CO2 để tạo năng lượng cho tế bào sử dụng.","sai"
"71","Sinh học 10","Hô hấp tế bào","Hô hấp tế bào là quá trình phân giải chất hữu cơ (glucose) thành CO2 và nước, giải phóng năng lượng dưới dạng ATP để cung cấp cho các hoạt động sống của tế bào.","Hô hấp tế bào là quá trình tế bào phân giải đường để lấy năng lượng ATP dùng cho hoạt động sống, đồng thời thải ra CO2 và nước.","dung"
